,code,target_date,min_distance,min_s_distance,min_l_p_distance,min_l_p_v_distance,min_distance_name,matching_period
234,688297,20260119,73.01385152518822,191.41157027020796,25.740332909521374,19.670701428173533,瑞达期货-20251020-20251107,['20251226']-['20260119']
162,002501,20260119,73.20474644306661,213.9098623487862,12.922534110686126,12.887568763062282,瑞达期货-20251020-20251107,['20251226']-['20260119']
195,002678,20260119,73.30298369144472,221.4715846152073,7.125714909472109,11.809484585102272,华纳药厂-20250409-20250512,['20251218']-['20260119']
282,600184,20260119,73.30471923624536,181.60475722018302,42.877032551151515,14.900455762112509,瑞达期货-20251020-20251107,['20251226']-['20260119']
1,002389,20260119,73.65796954000696,197.866231107385,24.663487021256156,17.247635253536536,瑞达期货-20251020-20251107,['20251226']-['20260119']
243,002093,20260119,73.96884317155892,233.19485337524753,2.608095512584022,8.06989626302359,中信证券-20240708-20240730,['20251224']-['20260119']
217,601698,20260119,74.08033927109916,222.9974851512996,6.227048400583828,13.282448013835333,微芯生物-20250527-20250620,['20251223']-['20260119']
177,300965,20260119,74.18819256695801,192.28470049942757,30.20504689119511,18.603170874428,瑞达期货-20251020-20251107,['20251226']-['20260119']
208,002651,20260119,74.30329721289421,224.3982118840105,4.406684018401973,14.15457110542614,中信证券-20240708-20240730,['20251224']-['20260119']
200,601512,20260119,74.33120889861478,226.35189093365176,5.280126945994134,12.10400883680253,华纳药厂-20250409-20250512,['20251218']-['20260119']
356,600682,20260119,74.37983477147736,188.46365085414845,36.62445052093519,17.133510897380678,瑞达期货-20251020-20251107,['20251226']-['20260119']
271,600999,20260119,74.56484096808019,216.8904349939794,8.005499782741886,17.7401513376595,瑞达期货-20251020-20251107,['20251226']-['20260119']
256,300198,20260119,74.7810340719286,203.60990671456838,23.929129258752518,16.298308199830828,瑞达期货-20251020-20251107,['20251226']-['20260119']
101,003037,20260119,74.78324621140408,225.99358985142106,8.873959097315636,10.807453816957697,华纳药厂-20250409-20250512,['20251218']-['20260119']
56,300722,20260119,74.79598129326428,212.3548423532241,16.742909245999243,15.166639533743197,瑞达期货-20251020-20251107,['20251226']-['20260119']
260,603712,20260119,75.03909861005577,228.41211116954716,3.760908428202918,13.46798182682689,中信证券-20240708-20240730,['20251224']-['20260119']
230,002875,20260119,75.20937340920321,218.33940017913656,11.575453729856402,15.587293091263275,瑞达期货-20251020-20251107,['20251226']-['20260119']
66,301367,20260119,75.5267913636243,229.25093503635244,5.478732946872425,12.769727421642113,航天发展-20251017-20251112,['20251222']-['20260119']
355,605507,20260119,75.8897445893425,232.44146926234887,9.612907100623493,8.183579201127014,中信证券-20240708-20240730,['20251224']-['20260119']
288,001229,20260119,75.94196270960249,213.0511789238545,25.825775962398588,10.697190609316412,华纳药厂-20250409-20250512,['20251218']-['20260119']
306,301234,20260119,76.13639352137498,191.24869667449218,35.69726200099196,20.13151479682435,瑞达期货-20251020-20251107,['20251226']-['20260119']
53,301160,20260119,76.1554182042927,214.3095036024264,15.976500641999717,17.67404232741216,瑞达期货-20251020-20251107,['20251226']-['20260119']
278,605598,20260119,76.48599193480665,205.0083969579185,17.13417845078782,24.6080482804869,微芯生物-20250527-20250620,['20251223']-['20260119']
14,002571,20260119,76.65534339636007,182.70077956827447,53.845065809717724,14.228974457406014,瑞达期货-20251020-20251107,['20251226']-['20260119']
130,601108,20260119,77.62998027920031,196.774984973153,40.33599410177603,16.241716391804033,瑞达期货-20251020-20251107,['20251226']-['20260119']
172,688272,20260119,77.72328030320041,222.5528186958844,17.687924965938866,14.127643011633602,航天发展-20251017-20251112,['20251222']-['20260119']
